numero_de_ordem,anomes,cod_ncm,pais_de_origem,descricao_do_produto,peso_liquido,vmle_dolar
OP-1000335,2023-02,09011110,INDIA,CAFE CRU EM GRAO NAO DESCAFEINADO TIPO ARABICA SAFRA RECENTE SACAS DE JUTA DE 60 KG EMBALAGEM PADRAO PALETIZADA,29587.614,44877.11
OP-1000332,2023-10,09011110,ITALIA,CAFE CRU EM GRAO NAO DESCAFEINADO TIPO ARABICA SAFRA RECENTE SACAS DE JUTA DE 60 KG LOTE 968/21 EMBALAGEM PADRAO PALETIZADA,23787.043,85951.7
OP-1000297,2023-07,52083200,INDIA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 253/22,370.543,3417.98
OP-1000407,2023-12,87089990,CHINA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM LOTE 235/24 EMBALAGEM PADRAO PALETIZADA,8.692,38.9
OP-1000333,2024-01,09011110,ESTADOS UNIDOS,CAFE CRU EM GRAO NAO DESCAFEINADO TIPO ARABICA SAFRA RECENTE SACAS DE JUTA DE 60 KG EMBALAGEM PADRAO PALETIZADA,29592.739,75364.99
OP-1000406,2024-04,87089990,ITALIA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM,6.356,38.23
OP-1000127,2023-07,85423919,ARGENTINA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 344/24,0.001,0.97
OP-1000371,2023-04,87082999,FRANCA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 EMBALAGEM PADRAO PALETIZADA,11.592,112.98
OP-1000254,2023-11,38089199,ESTADOS UNIDOS,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS,8.606,100.96
OP-1000374,2024-11,87082999,ARGENTINA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823,12.319,93.43
OP-1000068,2023-08,84822010,INDIA,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA LOTE 224/24,0.953,21.18
OP-1000194,2024-04,30022029,ESTADOS UNIDOS,VACINA PARA USO VETERINARIO INATIVADA CONTRA CLOSTRIDIOSE EM FRASCO AMPOLA CONTENDO 50 DOSES 100ML LOTE 410/23 EMBALAGEM PADRAO PALETIZADA,0.208,7.82
OP-1000163,2024-12,85365090,ESTADOS UNIDOS,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL,0.294,31.57
OP-1000112,2023-01,85423919,JAPAO,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V EMBALAGEM PADRAO PALETIZADA,0.001,0.87
OP-1000216,2023-04,39012010,ARGENTINA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 765/23 EMBALAGEM PADRAO PALETIZADA,19744.15,29401.81
OP-1000467,2024-07,25222000,ITALIA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A CAL APAGADA,487.016,1046.34
OP-1000184,2023-05,30049099,ITALIA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 396/23,0.061,11.36
OP-1000019,2024-05,84818099,ALEMANHA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL LOTE 991/23 EMBALAGEM PADRAO PALETIZADA,21.629,504.35
OP-1000474,2023-02,40094000,ITALIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTROS TUBOS DE BORRACHA VULCANIZADA NÃO ENDURECIDA, COM OUTRAS MATÉRIAS, SEM ACESSÓRIOS",301.23,248.28
OP-1000482,2024-08,38123021,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PREPARAÇÕES ANTIOXIDANTES E OUTROS ESTABILIZADORES COMPOSTOS, PARA PLÁSTICOS, QUE CONTENHAM DERIVADOS N-SUBSTITUÍDOS DE P-FENILENODIAMINA",112.395,5910.05
OP-1000031,2023-04,84818099,INDIA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT EMBALAGEM PADRAO PALETIZADA,2.059,50.7
OP-1000119,2024-09,85423919,FRANCA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 152/22,0.001,1.09
OP-1000277,2023-05,31021010,ARGENTINA,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG,55883.18,35620.57
OP-1000149,2023-12,85044021,INDIA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN,1.122,66.48
OP-1000232,2023-06,39233090,COREIA DO SUL,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 459/24,1230.245,5419.34
OP-1000085,2024-01,84137090,COREIA DO SUL,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX LOTE 303/21 EMBALAGEM PADRAO PALETIZADA,64.002,2206.64
OP-1000179,2023-07,30049099,INDIA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES,0.112,9.55
OP-1000231,2023-10,39012010,INDIA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954,34067.466,45280.94
OP-1000370,2024-07,87082999,ESTADOS UNIDOS,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 EMBALAGEM PADRAO PALETIZADA,19.553,158.12
OP-1000270,2023-07,31021010,ESTADOS UNIDOS,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG,36736.378,35009.42
OP-1000162,2023-11,85365090,MEXICO,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL,0.383,40.47
OP-1000447,2024-01,15051000,INDIA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A SUARDA EM BRUTO,25.426,3023.47
OP-1000395,2023-06,87089990,JAPAO,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM LOTE 997/23,9.036,41.38
OP-1000181,2024-03,30049099,JAPAO,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 597/24,0.11,16.27
OP-1000237,2023-11,39233090,COREIA DO SUL,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 355/21,1597.577,5760.2
OP-1000171,2023-03,30049099,FRANCA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES,0.078,19.19
OP-1000033,2024-01,84818099,CHINA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT EMBALAGEM PADRAO PALETIZADA,2.031,40.05
OP-1000413,2023-10,87089990,CHINA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM LOTE 773/22,5.131,60.98
OP-1000025,2023-08,84818099,INDIA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 107/21 EMBALAGEM PADRAO PALETIZADA,0.925,34.55
OP-1000172,2023-05,30049099,ARGENTINA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 700/23 EMBALAGEM PADRAO PALETIZADA,0.094,17.01
OP-1000408,2024-04,87089990,ALEMANHA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM LOTE 888/21,8.216,50.91
OP-1000143,2024-09,85044021,ITALIA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN,0.715,60.13
OP-1000432,2023-01,38123013,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PREPARAÇÕES ANTIOXIDANTES E OUTROS ESTABILIZADORES COMPOSTOS, PARA BORRACHA, QUE CONTENHAM 2,2,4-TRIMETIL-1,2-DIIDROQUINOLEÍNA POLIMERIZADA",1.73,6590.17
OP-1000187,2023-10,30049099,COREIA DO SUL,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES,0.106,16.64
OP-1000130,2024-03,85044021,INDIA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN,1.246,47.22
OP-1000092,2023-11,85423190,JAPAO,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 EMBALAGEM PADRAO PALETIZADA,0.002,3.21
OP-1000441,2023-07,39073011,ALEMANHA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A RESINAS EPOXIDAS COM CARGA, EM LÍQUIDOS E PASTAS",390.189,5867.84
OP-1000137,2024-04,85044021,ITALIA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 246/22,1.243,53.62
OP-1000057,2024-02,84821010,ARGENTINA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO LOTE 623/21,0.151,7.94
OP-1000472,2023-12,38249051,MEXICO,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A ANTIESPUMANTES CONTENDO FOSFATO DE TRIBUTILA EM SOLUÇÃO DE ÁLCOOL ISOPROPÍLICO,282.24,5652.93
OP-1000186,2024-03,30049099,CHINA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 982/23 EMBALAGEM PADRAO PALETIZADA,0.132,9.67
OP-1000416,2023-09,85422194,INDIA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTROS CO-PROCESSADORES,32.872,7137.62
OP-1000364,2023-12,87082999,ALEMANHA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823,10.169,160.23
OP-1000010,2024-03,84818099,ALEMANHA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL EMBALAGEM PADRAO PALETIZADA,12.88,438.32
OP-1000100,2023-10,85423190,INDIA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 LOTE 229/24,0.002,5.44
OP-1000365,2023-04,87082999,FRANCA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 813/24,11.873,127.65
OP-1000108,2023-03,85423190,FRANCA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 LOTE 370/22,0.003,4.65
OP-1000273,2023-12,31021010,INDIA,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG LOTE 988/23 EMBALAGEM PADRAO PALETIZADA,60281.494,27071.06
OP-1000360,2024-07,87082999,CHINA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 793/24 EMBALAGEM PADRAO PALETIZADA,13.959,142.99
OP-1000287,2023-11,52083200,ESTADOS UNIDOS,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO,546.67,2147.64
OP-1000450,2023-05,85395000,ESTADOS UNIDOS,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A LÂMPADAS E TUBOS DE DIODOS EMISSORES DE LUZ (LED),6.967,8312.2
OP-1000369,2024-07,87082999,FRANCA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 104/22,19.342,165.07
OP-1000036,2023-02,84818099,ALEMANHA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 182/22,1.504,66.37
OP-1000245,2024-10,39233090,FRANCA,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 231/22 EMBALAGEM PADRAO PALETIZADA,1258.477,3902.59
OP-1000300,2024-07,62034200,ITALIA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS,96.521,1660.58
OP-1000208,2024-01,30042099,MEXICO,ANTIBIOTICO CEFTIOFUR SODICO ESTERIL PO PARA SUSPENSAO INJETAVEL USO VETERINARIO FRASCO 4G,0.1,18.11
OP-1000436,2024-02,48024000,ARGENTINA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PAPEL PARA FABRICAÇÃO DE PAPÉIS DE PAREDE,229.771,7491.6
OP-1000455,2023-11,85437036,ESTADOS UNIDOS,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A ROTEADOR-COMUTADOR (ROUTING SWITCHER) DE MAIS DE 20 ENTRADAS E MAIS DE 16 SAÍDAS, DE ÁUDIO OU DE VÍDEO",22.305,4636.9
OP-1000262,2024-10,38089199,MEXICO,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS LOTE 231/21,7.307,123.38
OP-1000399,2024-04,87089990,ALEMANHA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM,11.079,53.23
OP-1000304,2023-01,62034200,ITALIA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 405/24 EMBALAGEM PADRAO PALETIZADA,109.734,1379.44
OP-1000039,2024-10,84818099,ALEMANHA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 568/23 EMBALAGEM PADRAO PALETIZADA,1.255,43.91
OP-1000049,2023-07,84821010,ARGENTINA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO LOTE 782/21,0.226,4.55
OP-1000201,2024-10,30022029,ARGENTINA,VACINA PARA USO VETERINARIO INATIVADA CONTRA CLOSTRIDIOSE EM FRASCO AMPOLA CONTENDO 50 DOSES 100ML LOTE 908/23,0.152,9.77
OP-1000367,2024-05,87082999,ITALIA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823,11.274,174.49
OP-1000397,2024-11,87089990,ESTADOS UNIDOS,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM,9.11,45.55
OP-1000168,2024-02,30049099,MEXICO,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES EMBALAGEM PADRAO PALETIZADA,0.103,13.97
OP-1000067,2024-02,84822010,ESTADOS UNIDOS,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA EMBALAGEM PADRAO PALETIZADA,0.947,27.91
OP-1000195,2024-03,30022029,FRANCA,VACINA PARA USO VETERINARIO INATIVADA CONTRA CLOSTRIDIOSE EM FRASCO AMPOLA CONTENDO 50 DOSES 100ML,0.163,7.24
OP-1000428,2023-07,29161430,JAPAO,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A ÉSTERES DE N-BUTILA DO ÁCIDO METACRÍLICO,282.34,3073.9
OP-1000381,2024-06,87083090,ARGENTINA,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS LOTE 142/24 EMBALAGEM PADRAO PALETIZADA,3.726,38.42
OP-1000478,2023-04,72061000,INDIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A FERRO E AÇOS, EM LINGOTES",430.474,9607.56
OP-1000087,2024-09,84137090,INDIA,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX EMBALAGEM PADRAO PALETIZADA,56.218,1544.23
OP-1000286,2024-09,52083200,FRANCA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 605/22 EMBALAGEM PADRAO PALETIZADA,774.585,2431.75
OP-1000274,2023-10,31021010,INDIA,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG EMBALAGEM PADRAO PALETIZADA,45574.529,21589.68
OP-1000487,2023-05,85251031,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A APARELHOS TRANSMISSORES DE TELEVISÃO, FREQUÊNCIA > 7GHZ",372.926,2418.06
OP-1000176,2024-08,30049099,INDIA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 758/21 EMBALAGEM PADRAO PALETIZADA,0.076,13.71
OP-1000361,2023-01,87082999,ESTADOS UNIDOS,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823,13.629,156.95
OP-1000073,2024-01,84822010,ITALIA,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA LOTE 823/22,0.841,16.05
OP-1000233,2023-09,39233090,COREIA DO SUL,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 910/21,1988.449,5038.44
OP-1000497,2024-06,39073021,ESTADOS UNIDOS,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A COPOLÍMERO DE TETRABROMOBISFENOL A E EPICLORIDRINA (RESINA EPÓXIDA BROMADA),169.637,9853.5
OP-1000240,2023-03,39233090,FRANCA,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 965/23 EMBALAGEM PADRAO PALETIZADA,1965.731,5444.33
OP-1000479,2024-11,29181800,COREIA DO SUL,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A CLOROBENZILATO,293.422,3398.78
OP-1000449,2024-12,72101100,INDIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PRODUTOS LAMINADOS PLANOS, DE FERRO OU AÇO NÃO LIGADO, DE LARGURA IGUAL OU SUPERIOR A 600 MM, FOLHEADOS OU CHAPEADOS, OU REVESTIDOS, ESTANHADOS, DE ESPESSURA IGUAL OU SUPERIOR A 0,5 MM",125.676,4647.33
OP-1000331,2023-03,09011110,COREIA DO SUL,CAFE CRU EM GRAO NAO DESCAFEINADO TIPO ARABICA SAFRA RECENTE SACAS DE JUTA DE 60 KG,28741.245,52770.21
OP-1000131,2024-04,85044021,ESTADOS UNIDOS,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 371/23 EMBALAGEM PADRAO PALETIZADA,1.244,66.13
OP-1000485,2024-07,29313994,CHINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A DIFLUORETO DE ALQUILFOSFONILA, COM GRUPO ALQUILA DE C1 A C3",91.859,3216.26
OP-1000027,2024-12,84818099,ALEMANHA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 684/24,1.723,41.94
OP-1000470,2023-12,29310054,ALEMANHA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A TRIS(2-CLOROVINIL)ARSINA,88.874,5945.57
OP-1000491,2023-02,02021000,COREIA DO SUL,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A CARCAÇAS E MEIAS-CARCAÇAS DE BOVINO, CONGELADAS",219.672,4225.55
OP-1000298,2024-11,52083200,ITALIA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 193/24 EMBALAGEM PADRAO PALETIZADA,572.569,1994.69
OP-1000427,2023-10,84436020,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A MÁQUINAS AUXILIARES DE IMPRESSÃO, NUMERADORES AUTOMÁTICOS",44.106,4594.62
OP-1000134,2024-09,85044021,ESTADOS UNIDOS,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 202/24,1.141,46.99
OP-1000255,2023-10,38089199,CHINA,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS LOTE 984/24,6.69,73.93
OP-1000437,2023-04,29339049,INDIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTROS COMPOSTOS HETEROCÍCLICOS, COM 1 CICLO PIRROL",67.623,8208.63
OP-1000120,2023-04,85423919,FRANCA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V EMBALAGEM PADRAO PALETIZADA,0.001,0.85
OP-1000056,2024-07,84821010,ALEMANHA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO LOTE 371/21,0.106,9.13
OP-1000462,2024-09,94033000,INDIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A MÓVEIS DE MADEIRA, DO TIPO UTILIZADO EM ESCRITÓRIOS",397.628,9894.57
OP-1000118,2024-10,85423919,CHINA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 573/24,0.001,1.01
OP-1000090,2023-08,84137090,ARGENTINA,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX LOTE 188/23 EMBALAGEM PADRAO PALETIZADA,77.199,1817.72
OP-1000484,2024-12,84211190,CHINA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTRAS DESNATADEIRAS CENTRÍFUGAS,474.445,9489.55
OP-1000309,2023-11,62034200,MEXICO,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 891/23,152.391,1091.39
OP-1000307,2024-08,62034200,FRANCA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 993/21,65.792,1443.08
OP-1000071,2023-08,84822010,JAPAO,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA LOTE 383/24 EMBALAGEM PADRAO PALETIZADA,0.987,21.34
OP-1000314,2023-02,62034200,FRANCA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 526/22,139.68,1003.6
